ID,Statement
P122,I saw someone that looks to be 25 years old acting suspicious.
P110,I saw someone that looks to be 23 years old acting suspicious.
P184,I saw someone with indigo skin acting suspicious.
P103,I saw someone with orange hair acting suspicious.
P001,I saw someone with red hair acting suspicious.
P164,I saw someone with blue skin acting suspicious.
P283,I saw someone that looks to be 20 years old acting suspicious.
P190,I saw someone with orange eyes acting suspicious.
P240,I saw someone who looked 158 cm tall acting suspicious.
P092,I saw someone with indigo hair acting suspicious.
P071,I saw someone with violet eyes acting suspicious.
P037,I saw someone with yellow eyes acting suspicious.
P150,I saw someone with orange hair acting suspicious.
P196,I saw someone who looked 158 cm tall acting suspicious.
P149,I saw someone with indigo eyes acting suspicious.
P180,I saw someone who looked 162 cm tall acting suspicious.
P075,I saw someone with orange hair acting suspicious.
P270,I saw someone with violet eyes acting suspicious.
P088,I saw someone that looks to be 21 years old acting suspicious.
P269,I saw someone with green eyes acting suspicious.
P058,I saw someone with green eyes acting suspicious.
P157,I saw someone who looked 152 cm tall acting suspicious.
P256,I saw someone that looks to be 21 years old acting suspicious.
P192,I saw someone who looked 167 cm tall acting suspicious.
P029,I saw someone who looked 158 cm tall acting suspicious.
P027,I saw someone with indigo skin acting suspicious.
P194,I saw someone who looked 154 cm tall acting suspicious.
P200,I saw someone with green skin acting suspicious.
P140,I saw someone with red eyes acting suspicious.
P051,I saw someone with green eyes acting suspicious.
P064,I saw someone who looked 160 cm tall acting suspicious.
P083,I saw someone that looks to be 20 years old acting suspicious.
P218,I saw someone who looked 152 cm tall acting suspicious.
P080,I saw someone with blue eyes acting suspicious.
P257,I saw someone with violet skin acting suspicious.
P170,I saw someone with orange eyes acting suspicious.
P139,I saw someone who looked 150 cm tall acting suspicious.
P176,I saw someone with green skin acting suspicious.
P204,I saw someone that looks to be 20 years old acting suspicious.
P254,I saw someone that looks to be 21 years old acting suspicious.
P267,I saw someone with orange hair acting suspicious.
P271,I saw someone with red skin acting suspicious.
P002,I saw someone with violet hair acting suspicious.
P138,I saw someone with red skin acting suspicious.
P079,I saw someone with violet eyes acting suspicious.
P206,I saw someone with violet hair acting suspicious.
P125,I saw someone with blue skin acting suspicious.
P264,I saw someone that looks to be 24 years old acting suspicious.
P244,I saw someone who looked 151 cm tall acting suspicious.
P114,I saw someone with orange eyes acting suspicious.
P059,I saw someone with green hair acting suspicious.
P205,I saw someone with yellow hair acting suspicious.
P189,I saw someone that looks to be 24 years old acting suspicious.
P207,I saw someone with indigo eyes acting suspicious.
P156,I saw someone that looks to be 20 years old acting suspicious.
P295,I saw someone with blue skin acting suspicious.
P220,I saw someone that looks to be 23 years old acting suspicious.
P298,I saw someone with red eyes acting suspicious.
P035,I saw someone with orange hair acting suspicious.
P060,I saw someone with orange skin acting suspicious.
P297,I saw someone with violet hair acting suspicious.
P025,I saw someone with red skin acting suspicious.
P013,I saw someone with red skin acting suspicious.
P011,I saw someone that looks to be 30 years old acting suspicious.
P203,I saw someone who looked 154 cm tall acting suspicious.
P219,I saw someone that looks to be 23 years old acting suspicious.
